@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
222,173,66,4,439,0.009029,0.723849,0.977401,0.723849,0.022599,0.831731,0.259531,2.789069,0.998564
223,172,67,4,439,0.009029,0.719665,0.977273,0.719665,0.022727,0.828916,0.258065,2.788703,0.998632
224,172,67,3,440,0.006772,0.719665,0.982857,0.719665,0.017143,0.830918,0.256598,2.804638,0.998632
225,171,68,3,440,0.006772,0.715481,0.982759,0.715481,0.017241,0.828087,0.255132,2.804357,0.998652
226,170,69,3,440,0.006772,0.711297,0.982659,0.711297,0.017341,0.825243,0.253666,2.804073,0.998659
227,169,70,3,440,0.006772,0.707113,0.982558,0.707113,0.017442,0.822384,0.252199,2.803785,0.998673
228,168,71,3,440,0.006772,0.702929,0.982456,0.702929,0.017544,0.819512,0.250733,2.803494,0.998776
229,166,73,3,440,0.006772,0.694561,0.982249,0.694561,0.017751,0.813725,0.247801,2.802902,0.998797
230,165,74,3,440,0.006772,0.690377,0.982143,0.690377,0.017857,0.810811,0.246334,2.8026,0.998817
231,164,75,3,440,0.006772,0.686192,0.982036,0.686192,0.017964,0.807882,0.244868,2.802295,0.998848
232,163,76,3,440,0.006772,0.682008,0.981928,0.682008,0.018072,0.804938,0.243402,2.801986,0.998909
233,162,77,3,440,0.006772,0.677824,0.981818,0.677824,0.018182,0.80198,0.241935,2.801674,0.998975
234,161,78,3,440,0.006772,0.67364,0.981707,0.67364,0.018293,0.799007,0.240469,2.801357,0.999084
235,160,79,3,440,0.006772,0.669456,0.981595,0.669456,0.018405,0.79602,0.239003,2.801037,0.999241
236,159,80,3,440,0.006772,0.665272,0.981481,0.665272,0.018519,0.793017,0.237537,2.800713,0.999298
237,158,81,3,440,0.006772,0.661088,0.981366,0.661088,0.018634,0.79,0.23607,2.800385,0.999307
238,157,82,3,440,0.006772,0.656904,0.98125,0.656904,0.01875,0.786967,0.234604,2.800052,0.999309
239,156,83,3,440,0.006772,0.65272,0.981132,0.65272,0.018868,0.78392,0.233138,2.799716,0.999369
240,155,84,3,440,0.006772,0.648536,0.981013,0.648536,0.018987,0.780856,0.231672,2.799375,0.999381
